"Reference","Qty","Value","Footprint","LCSC Part"
"C1,C5,C6,C10,C11,C13,C14","7","100nF","Capacitor_SMD:C_0402_1005Metric","C1525"
"C2,C3,C4,C7,C8,C9","6","1uF","Capacitor_SMD:C_0402_1005Metric","C52923"
"C12","1","220nF","Capacitor_SMD:C_0402_1005Metric","C16772"
"C15","1","10uF","Capacitor_SMD:C_0402_1005Metric","C315248"
"D1,D2","2","BAT54L-TP","Diode_SMD:D_SOD-882","C587155"
"J1","1","USB","easyeda2kicad:CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN","C160404"
"J2","1","Conn_01x02_Socket","easyeda2kicad:CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN","C160402"
"LED1","1","XL-3806RGBC-4L","easyeda2kicad:LED-SMD_4P-L3.8-W1.0_XL-3806RGBC-4L","C2843779"
"M1","1","Vibration Motor","easyeda2kicad:CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN","C160402"
"Q1","1","NMOS","Package_TO_SOT_SMD:SOT-23","C10488"
"R1,R5","2","10K","Resistor_SMD:R_0402_1005Metric","C25128"
"R2,R3,R4","3","470","Resistor_SMD:R_0402_1005Metric","C25900"
"R6,R9,R12,R13,R14","5","5K","Resistor_SMD:R_0402_1005Metric","C25905"
"R7","1","220","Resistor_SMD:R_0402_1005Metric","C25091"
"SW1","1","SW_Push","Resistor_SMD:R_0805_2012Metric","-"
"SW2","1","Vibration Sensor (NO switch)","Resistor_SMD:R_0805_2012Metric","C42371121"
"U1","1","ATSAMD21E18A-M","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm","C2052801"
"U2","1","TLV75533PDQNR","easyeda2kicad:X2SON-4_L1.0-W1.0-P0.65-TL-EP","C2861882"
"U3","1","TMP112xxDRL","Package_TO_SOT_SMD:SOT-563","C28927"
"U4","1","TMAG5273A1QDBVR","easyeda2kicad:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","C3716049"
"U5","1","LSM303AGRTR","easyeda2kicad:LGA-12_L2.0-W2.0-P0.50-BL","C126671"
